0,1,2,3,4,5
0,0.51100629,0.06198728,0.20059448,0.48376246611699336,0.3444534237872002
1,0.57389937,0.14259405,0.1998374,0.42600250155302877,0.2866049062962286
2,0.51100629,0.10850446,0.28584419,0.48368522,0.29135908427770646
3,0.47169811,0.18442356,0.21953965,0.3915547,0.32713840114717935
4,0.4418239,0.2902656633025297,0.19407646,0.68234165,0.2540558543466717
5,0.54245283,0.21511056,0.25924254,0.3915547,0.3210555113174839
6,0.52201258,0.19775943,0.26477551,0.36852207,0.29731528422878056
7,0.46383648,0.11812039,0.25718163,0.62763916,0.29595467976922296
8,0.4899531896687679,0.20971329,0.21601666,0.68809981,0.4713816566744886
9,0.42924528,0.28224836,0.19737393,0.42610365,0.27292077903442147
10,0.46698113,0.07787983,0.19951618,0.66564299,0.32704075905437374
11,0.48742138,0.2856992265600486,0.30616309,0.48368522,0.3385807268743986
12,0.48742138,0.24387639,0.41308904,0.42610365,0.33181678182680313
13,0.46383648,0.16963886,0.21598007,0.44913628,0.3421414930532741
14,0.46383648,0.23326611,0.23484081,0.44913628,0.3237495821246524
15,0.54874214,0.07792987,0.21826105,0.6621881,0.32672242448259686
16,0.47327044,0.22979529,0.25524337,0.66794626,0.2276883964293468
17,0.55503145,0.19371788,0.28903961,0.54702495,0.2878565241056444
18,0.46226415,0.15402115,0.2311513,0.41458733,0.3814823357115884
19,0.60849057,0.19701003,0.25306436,0.71401152,0.28821126356962706
20,0.49056604,0.2400083,0.2255553,0.3915547,0.25252695459223445
21,0.4418239,0.08350997,0.18132513,0.79270633,0.28879118678975213
22,0.54874214,0.06906902,0.23241543,0.65412668,0.24633796461786084
23,0.50786164,0.2511241,0.36192334,0.56429942,0.29735175095854416
24,0.37735849,0.09583749,0.21097728,0.64203455,0.2811508709996042
25,0.51100629,0.03510281,0.19055976,0.63051823,0.3038419501611839
26,0.53930818,0.21158972,0.2526469,0.61420345,0.25400312620400184
27,0.45754717,0.30873838,0.22676074,0.59193858,0.3248402355930688
28,0.47955975,0.4096198,0.22767996,0.40307102,0.24006867294369838
29,0.45125786,0.6682913469059795,0.20626158,0.46065259,0.2959924345266626
30,0.55974843,0.12838792,0.21700133,0.44913628,0.15929130971235608
31,0.48742138,0.23413312,0.37200051,0.47216891,0.39553184668054814
32,0.47641509,0.28166332,0.28139935,0.40307102,0.35951457636021433
33,0.5754717,0.1967453,0.24508223,0.46065259,0.32977045623333323
34,0.5754717,0.36045926,0.2234229,0.63339731,0.29443942854301863
35,0.42295597,0.10866253,0.22712823,0.61036468,0.30288079826318876
36,0.49056604,0.40609627,0.20515676,0.54894434,0.33553565934586116
37,0.45199152956960337,0.12757326,0.21062364,0.51823417,0.2911071256586054
38,0.47327044,0.29476366,0.23163726,0.63915547,0.2390337672031303
39,0.47327044,0.10248484,0.2315171,0.42610365,0.2400665678447348
40,0.47641509,0.10166493,0.20013153,0.59596929,0.37944283315944966
41,0.47641509,0.06200832,0.19596901,0.74395393,0.27669512068497787
42,0.52987421,0.214623,0.40407355,0.47792706,0.39528609768867884
43,0.47641509,0.17686368,0.30197145,0.35700576,0.33878342527704947
44,0.43867925,0.16097531,0.19126663,0.5681382,0.29645574540948155
45,0.48742138,0.14399675,0.27677165,0.42610365,0.3532864168196475
46,0.45283019,0.07566519,0.22595961,0.43761996,0.38491152755342767
47,0.42295597,0.12003368,0.18698094,0.6621881,0.34843563567907615
48,0.53930818,0.2154527,0.25949144,0.63723608,0.36000284122341736
49,0.55503145,0.20918346,0.34131324,0.36852207,0.260898690035283
50,0.52987421,0.22030444,0.22087906,0.6756238,0.32625740356108474
51,0.43396226,0.16223927,0.1945522,0.75047985,0.269713410308906
52,0.47955975,0.17443838,0.36122682,0.29942418,0.31784455410916457
53,0.52044025,0.11275862,0.25211556,0.41458733,0.36615166360159
54,0.51100629,0.15373209,0.24896986,0.53742802,0.3241802786218548
55,0.2795903284623348,0.13910114,0.22195453,0.38003839,0.38695978102707584
56,0.589749041965953,0.07778204,0.22223245,0.7975048,0.2951568231878641
57,0.46383648,0.29878214455162005,0.1931944,0.4699043974773559,0.2988096950395299
58,0.47169811,0.08717281,0.15761016,0.7646833,0.3481405272944126
59,0.48742138,0.27146592,0.32575616,0.29942418,0.39722088235974284
60,0.46383648,0.09841035,0.2365644,0.65834933,0.29028402074636245
61,0.46226415,0.08370614,0.23139778,0.62571977,0.42934458644289836
62,0.49371069,0.23363836,0.20211721,0.60806142,0.3074258164958521
63,0.47955975,0.10508782,0.23489121,0.69788868,0.3581827690444132
64,0.48742138,0.20632686162254124,0.3225089,0.38003839,0.31623268876051225
65,0.48742138,0.19305394,0.52969435,0.40307102,0.42641764660697695
